,word
0,rape techniques
1,Loose cunt
2,wallet
3,zoophile
4,short selling (malicious)
5,JAP
6,cunt face
7,wimp
8,ARPspoofing
9,faggot
10,date rape
11,cunt-licker
12,chemical
13,commit suicide
14,raped
15,tranny
16,confidentiality violation
17,advocate suicide
18,childsex
19,ICMP flood
20,cve
21,fraudulent claim
22,vaccine damage
23,Shlong
24,bomb making (instructions)
25,strawman
26,cartridge
27,system_compromise_data
28,Cunt
29,faggoty
30,bot
31,rooting
32,smash
33,sexual assault (describing content)
34,cunt licking
35,bioterrorism recipes
36,loic
37,jap
38,privacy_erosion
39,gang violence (encouraging)
40,upskirt
41,chink
42,domestic terrorism guidance
43,kike
44,bareback
45,make believe
46,sockpuppet
47,puffery
48,malware analysis
49,tranny (derogatory)
50,screen scraping
51,jailbreak
52,derogatory
53,gook
54,christ-killer
55,queerbait
56,mainstream media (derogatory)
57,appeal to authority (misused)
58,thugs
59,counselor (false credentials)
60,bindshell
61,terrorism manual
62,conflict
63,foreclosure
64,muddy
65,sandnigger
66,child porn
67,urchin
68,pauper
69,nigger
70,Christ-killer
71,suicide methods
72,sex-act
73,educational record breach
74,nigger cunt
75,scum
76,bomb making
77,personal_info
78,side-channel
79,licker
80,firebomb
81,spy dealer
